en,nl,position,score,rel_score,ratio_score,index,correctness,freqs
physically,gehandicapt,8,0.4904559272838501,0.1404706877282382,0.7773581199684422,7142,no,258495
enterprises,productiemaatschappijen,5,0.589881929212184,0.0368197078463961,0.9412484256157218,7139,no,195609
henri,françois,8,0.5849823172111447,0.1222025671160195,0.8271985589280708,5858,no,666
geneva,straatsburg,3,0.5341684350562907,0.2365699663502111,0.6930606209337691,6496,no,2905
telugu,gujarati,5,0.5379829881782855,0.0601952040322122,0.8993691097133316,6886,no,1902
defenders,aanvallende,8,0.556658001659811,0.1281961970599945,0.8128124244552621,6091,no,48721
reactions,immuunreactie,6,0.6852735158501844,0.0899770920433462,0.8839380567687304,6144,no,205489
colleagues,medestudenten,2,0.5686683548992566,0.0460915241909256,0.9250251589951852,6549,no,315784
edu,//dx,8,0.4750080449163234,0.0361798668856161,0.9292239388875962,6136,no,46819
illustrate,illustreren,0,0.5904363782022188,0.0,1.0,6276,yes,119205
jeremy,colin,4,0.5306811738555554,0.0773601614658315,0.8727715420450124,6015,no,4991
trustees,commissieleden,3,0.5370821553046339,0.0188113551301885,0.96616014618434,6647,no,48852
hood,pennyworth,3,0.4504866409424254,0.1800914351070297,0.7144026379171079,5914,no,85302
delayed,vertraagde,4,0.644120736197125,0.0929721708646248,0.8738664149744204,6288,yes,135808
lancaster,trowbridge,6,0.5608992289891646,0.0890748675687822,0.8629562808110446,6510,no,7852
twins,tweelingbroers,4,0.513138462224176,0.0756411281057575,0.8715289569338323,6177,no,79071
pushing,getrol,6,0.524142198863174,0.0569364734590307,0.9020158953150156,5697,no,254399
jin,seong,4,0.6702258497029168,0.075283272045624,0.8990176379478064,6452,no,3374
searches,doorzoeken,5,0.5786711056115161,0.0657999627229323,0.897900827584109,6719,no,155715
brass,koperensemble,2,0.6124235528991876,0.0461443265594437,0.9299323152575004,6927,no,85995
remarks,opmerking,3,0.566797008196311,0.0837645054651714,0.8712427592069979,6311,no,133993
